weight logl phys_par
3.137536427783942259e-06 -7.777315139160765511e+01 1.756710054288997291e+00
3.200515211165571555e-06 -7.775077750611197303e+01 3.501463670435680964e+00
3.196133111446006180e-06 -7.774964763002188306e+01 1.758580875710122449e+00
3.224324450864815721e-06 -7.773836585074198524e+01 1.759479396067685997e+00
3.363889124109045784e-06 -7.769349152441921547e+01 1.763056756214061327e+00
3.391276411499345954e-06 -7.768288293335551487e+01 3.498710682904413893e+00
3.580279388799141736e-06 -7.762614846751569075e+01 1.768435640664534514e+00
3.597741078341090871e-06 -7.761878313617060599e+01 1.769024689785319904e+00
3.754955294472008558e-06 -7.757351292690199784e+01 1.772648532484156103e+00
3.752618144843610126e-06 -7.757163553811525958e+01 1.772798939602197255e+00
3.755240908967781954e-06 -7.756843686644013758e+01 1.773055224159209686e+00
3.853535949906723674e-06 -7.754009815109776582e+01 3.492871887425558874e+00
4.023944261358034121e-06 -7.749432672529690080e+01 3.490985840833148224e+00
4.094614818198002326e-06 -7.747441665505635910e+01 3.490163226260418305e+00
4.293958563018126954e-06 -7.742438025700968751e+01 3.488089949336755868e+00
4.573244920084328907e-06 -7.735886630534753294e+01 1.789910083458156276e+00
4.599305810007718862e-06 -7.735068392520824432e+01 1.790570742889113109e+00
4.625943055868532391e-06 -7.734240905229684415e+01 1.791239071501085967e+00
4.861569026444773874e-06 -7.729022807569054976e+01 1.795458206844443350e+00
4.864337136077535054e-06 -7.728715885166941746e+01 3.482359834613842242e+00
5.006973868262118743e-06 -7.725575759215395522e+01 1.798249815474362912e+00
5.768495560547810835e-06 -7.711167799466483075e+01 3.474935063431808580e+00
5.790277214066478531e-06 -7.710540913793131779e+01 1.810468235295302097e+00
6.473545094631156687e-06 -7.699136541991936156e+01 1.819783377774314648e+00
6.771530740383301472e-06 -7.694386213867306878e+01 1.823675766908193552e+00
7.630036182690879846e-06 -7.682199671900077931e+01 3.462429681214645782e+00
7.645409612048100701e-06 -7.681748388942392580e+01 3.462232329997709801e+00
7.901518873809410104e-06 -7.678203430294679777e+01 1.836991612409508257e+00
8.453730230821772542e-06 -7.671198151505285523e+01 3.457595766256035930e+00
9.519381146373497352e-06 -7.659075946538993662e+01 1.852845513169397940e+00
9.631063773816110930e-06 -7.657659562216721838e+01 3.451580565497942121e+00
1.074130380562823005e-05 -7.646499282756245464e+01 1.863340501765710755e+00
1.086927501617056815e-05 -7.645064930338284626e+01 3.445916954213707584e+00
1.108735089899276698e-05 -7.642828440656889200e+01 3.444904253820836981e+00
1.109220788824028133e-05 -7.642534643669114303e+01 3.444771061776315424e+00
1.143063782187897219e-05 -7.639279202775828992e+01 1.869391765520828752e+00
1.141026536870461832e-05 -7.639207588528850579e+01 1.869451884133206843e+00
1.143986998643960895e-05 -7.638698468538186148e+01 1.869879334992246900e+00
1.228178485757507979e-05 -7.631347204758196767e+01 1.876062315560271365e+00
1.234207960176957938e-05 -7.630607477690381302e+01 1.876685626163954623e+00
1.237500516705638095e-05 -7.630091058045265129e+01 1.877120897778914888e+00
1.251295884059909716e-05 -7.628732449190087550e+01 1.878266511947094486e+00
1.272746492935785771e-05 -7.626782705515790894e+01 1.879911835030603662e+00
1.373993600809653265e-05 -7.618878267700763729e+01 1.886597357972632949e+00
1.401800431505431934e-05 -7.616624678054674291e+01 1.888507956679204458e+00
1.449927911613937195e-05 -7.612999037438490291e+01 1.891586052522289396e+00
1.487321143542390043e-05 -7.610202760188026616e+01 3.429882313946428951e+00
1.500313753003516622e-05 -7.609082995854871001e+01 3.429358228821883792e+00
1.502272019807005806e-05 -7.608702557144418677e+01 1.895240559013708470e+00
1.500961370996223526e-05 -7.608539839664518922e+01 3.429103805398976412e+00
1.504566265826783824e-05 -7.608049955225256156e+01 3.428874217960061532e+00
1.514436428587858677e-05 -7.607146083803034742e+01 1.896566324417914728e+00
1.606822623253860202e-05 -7.600974551035434956e+01 3.425545783886146278e+00
1.683111056840008658e-05 -7.596086031299435604e+01 3.423232308159124493e+00
1.706925235596300558e-05 -7.594431056931341573e+01 1.907434329737107692e+00
1.749629983421889165e-05 -7.591709988591856018e+01 1.909768985927076113e+00
1.746702239350430820e-05 -7.591627463795539654e+01 1.909839841097585200e+00
1.840268345298839820e-05 -7.586159281262955290e+01 3.418499148960510770e+00
1.846641722624594570e-05 -7.585563550905733621e+01 1.915054315737861224e+00
1.856686932886603250e-05 -7.584771053286287668e+01 1.915736980221786290e+00
1.856725699928006939e-05 -7.584518965339418628e+01 1.915954188624530818e+00
1.898013143955689874e-05 -7.582069658812835655e+01 1.918066055110401180e+00
1.937326138879603372e-05 -7.579769547000603325e+01 1.920051690962923718e+00
2.046570367980402982e-05 -7.574033881254456446e+01 1.925013435302368681e+00
2.092153966165543252e-05 -7.571581007236520122e+01 1.927139861334890902e+00
2.140225216810381423e-05 -7.569059314845674180e+01 3.410231527504113735e+00
2.200185270848935398e-05 -7.566046264261245824e+01 1.931948084308237945e+00
2.215686645091082856e-05 -7.565094186021167388e+01 3.408293230042592548e+00
2.224986822634989145e-05 -7.564425322026374943e+01 1.933358924831443115e+00
