logz logzerr logvol nlive logl logwt insert_order
-1.653618623983296629e+02 1.457252586015974849e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -1.527764293050988726e+02 -1.588516435917901788e+02 3.150000000000000022e-01
-1.588501565439245269e+02 3.618690680180287167e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -1.520231948194015104e+02 -1.581009091060928142e+02 1.610000000000000098e+00
-1.577137966002962060e+02 4.020554770786063159e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -1.463054205108687711e+02 -1.523856347975600727e+02 4.000000000000000222e-01
-1.523807935527623272e+02 5.318807764630465229e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -1.458445763041193004e+02 -1.519272905908105997e+02 6.300000000000000044e-01
-1.514354041024001845e+02 4.452580548019907880e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -1.450189504531849138e+02 -1.511041647398762393e+02 1.885000000000000009e+00
-1.505629845461807577e+02 1.018394532334076397e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -1.447236076577580093e+02 -1.508113219444493325e+02 1.770000000000000018e+00
-1.499863168599834182e+02 1.185226063467351709e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -1.441302096635139378e+02 -1.502204239502052587e+02 3.599999999999999867e-01
-1.494033880457317878e+02 1.287005963482788173e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -1.428362467326370222e+02 -1.489289610193283409e+02 1.304999999999999938e+00
-1.484451521953799329e+02 1.503552107240611058e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -1.420884216255128649e+02 -1.481836359122041813e+02 1.600000000000000033e-01
-1.476127222778603425e+02 1.319445107352823054e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -1.414540166724064534e+02 -1.475517309590977675e+02 7.099999999999999645e-01
-1.468886145173534032e+02 8.330768554080573152e-01 -1.075000000000000538e-01 4.000000000000000000e+02 -1.411718637167626582e+02 -1.472720780034539700e+02 1.969999999999999973e+00
-1.463689300720518816e+02 7.785279480338184177e-01 -1.100000000000000561e-01 4.000000000000000000e+02 -1.405123791013346590e+02 -1.466150933880259686e+02 1.199999999999999956e+00
-1.457913090498961708e+02 7.610627022069322845e-01 -1.125000000000000583e-01 4.000000000000000000e+02 -1.403382226288301240e+02 -1.464434369155214313e+02 1.745000000000000107e+00
-1.453719830397874091e+02 7.184468538452000175e-01 -1.150000000000000605e-01 4.000000000000000000e+02 -1.399563730038076983e+02 -1.460640872904990033e+02 6.800000000000000488e-01
-1.449661701675265988e+02 6.944874554178206427e-01 -1.175000000000000627e-01 4.000000000000000000e+02 -1.382725397866147432e+02 -1.443827540733060459e+02 1.479999999999999982e+00
-1.439393582091962287e+02 9.012089835425602935e-01 -1.200000000000000649e-01 4.000000000000000000e+02 -1.380581142777840000e+02 -1.441708285644753005e+02 1.499999999999999944e-01
-1.433552637887614196e+02 5.357660194114748364e-01 -1.225000000000000672e-01 4.000000000000000000e+02 -1.374998840026854907e+02 -1.436150982893768173e+02 1.629999999999999893e+00
-1.427836182465273396e+02 6.633100896380901279e-01 -1.250000000000000555e-01 4.000000000000000000e+02 -1.357580890235499282e+02 -1.418758033102412526e+02 4.949999999999999956e-01
-1.415369020783501242e+02 9.780524850782976731e-01 -1.275000000000000577e-01 4.000000000000000000e+02 -1.342380669468068390e+02 -1.403582812334981611e+02 1.405000000000000027e+00
-1.400900092111539266e+02 1.621729183669177621e+00 -1.300000000000000600e-01 4.000000000000000000e+02 -1.341679524574245477e+02 -1.402906667441158675e+02 2.300000000000000100e-01
