,x,y,signal,bkg
186,62.198,1467.5300000000002,-23.0,1490.5300000000002
187,62.698,1480.2359999999999,-10.0,1490.2359999999999
188,63.198,1470.944,-19.0,1489.944
189,63.698,1523.6509999999998,34.0,1489.6509999999998
190,64.198,1479.3580000000002,-10.0,1489.3580000000002
191,64.698,1450.065,-39.0,1489.065
192,65.198,1405.773,-83.0,1488.773
193,65.698,1491.4789999999998,3.0,1488.4789999999998
194,66.198,1447.187,-41.0,1488.187
195,66.698,1455.893,-32.0,1487.893
196,67.198,1500.601,13.0,1487.601
197,67.698,1509.308,22.0,1487.308
198,68.198,1458.0149999999999,-29.0,1487.0149999999999
199,68.698,1485.722,-1.0,1486.722
200,69.198,1488.4299999999998,2.0,1486.4299999999998
201,69.698,1549.136,63.0,1486.136
202,70.198,1481.844,-4.0,1485.844
203,70.698,1468.551,-17.0,1485.551
204,71.198,1516.2579999999998,31.0,1485.2579999999998
205,71.698,1445.9650000000001,-39.0,1484.9650000000001
206,72.198,1495.673,11.0,1484.673
207,72.698,1460.379,-24.0,1484.379
208,73.198,1516.087,32.0,1484.087
209,73.698,1477.7939999999999,-6.0,1483.7939999999999
210,74.198,1538.501,55.0,1483.501
211,74.698,1544.208,61.0,1483.208
212,75.198,1470.915,-12.0,1482.915
213,75.698,1443.622,-39.0,1482.622
214,76.198,1456.33,-26.0,1482.33
215,76.698,1530.036,48.0,1482.036
216,77.198,1433.7440000000001,-48.0,1481.7440000000001
217,77.698,1449.451,-32.0,1481.451
218,78.198,1520.158,39.0,1481.158
219,78.698,1421.865,-59.0,1480.865
220,79.198,1448.5729999999999,-32.0,1480.5729999999999
221,79.698,1420.279,-60.0,1480.279
222,80.198,1554.987,75.0,1479.987
223,80.698,1433.694,-46.0,1479.694
224,81.198,1420.401,-59.0,1479.401
225,81.698,1507.1080000000002,28.0,1479.1080000000002
226,82.198,1498.816,20.0,1478.816
227,82.698,1516.522,38.0,1478.522
228,83.198,1470.23,-8.0,1478.23
229,83.698,1435.936,-42.0,1477.936
230,84.198,1476.644,-1.0,1477.644
231,84.698,1464.351,-13.0,1477.351
232,85.198,1462.058,-15.0,1477.058
233,85.698,1483.7649999999999,7.0,1476.7649999999999
234,86.198,1470.473,-6.0,1476.473
235,86.698,1517.179,41.0,1476.179
236,87.198,1473.887,-2.0,1475.887
237,87.698,1447.594,-28.0,1475.594
238,88.198,1534.301,59.0,1475.301
239,88.698,1439.0079999999998,-36.0,1475.0079999999998
240,89.198,1436.716,-38.0,1474.716
241,89.698,1489.422,15.0,1474.422
242,90.198,1438.13,-36.0,1474.13
243,90.698,1477.837,4.0,1473.837
244,91.198,1385.5439999999999,-88.0,1473.5439999999999
245,91.698,1559.251,86.0,1473.251
246,92.198,1418.958,-54.0,1472.958
247,92.698,1480.665,8.0,1472.665
248,93.198,1447.373,-25.0,1472.373
249,93.698,1412.079,-60.0,1472.079
250,94.198,1461.787,-10.0,1471.787
251,94.698,1481.4940000000001,10.0,1471.4940000000001
252,95.198,1487.201,16.0,1471.201
253,95.698,1496.908,26.0,1470.908
254,96.198,1476.616,6.0,1470.616
255,96.698,1402.3220000000001,-68.0,1470.3220000000001
256,97.198,1469.03,-1.0,1470.03
257,97.698,1367.737,-102.0,1469.737
258,98.198,1465.444,-4.0,1469.444
259,98.698,1476.151,7.0,1469.151
260,99.198,1489.859,21.0,1468.859
261,99.698,1484.565,16.0,1468.565
262,100.198,1419.2730000000001,-49.0,1468.2730000000001
263,100.698,1454.979,-13.0,1467.979
264,101.198,1441.687,-26.0,1467.687
265,101.698,1429.394,-38.0,1467.394
266,102.198,1509.101,42.0,1467.101
267,102.698,1439.808,-27.0,1466.808
268,103.198,1481.516,15.0,1466.516
269,103.698,1483.2220000000002,17.0,1466.2220000000002
270,104.198,1485.93,20.0,1465.93
271,104.698,1458.637,-7.0,1465.637
272,105.198,1499.344,34.0,1465.344
273,105.698,1498.051,33.0,1465.051
274,106.198,1467.759,3.0,1464.759
275,106.698,1455.465,-9.0,1464.465
276,107.198,1486.173,22.0,1464.173
277,107.698,1485.88,22.0,1463.88
278,108.198,1471.586,8.0,1463.586
279,108.698,1387.2939999999999,-76.0,1463.2939999999999
280,109.198,1410.0,-53.0,1463.0
281,109.698,1540.708,78.0,1462.708
282,110.198,1438.415,-24.0,1462.415
283,110.698,1450.1219999999998,-12.0,1462.1219999999998
284,111.198,1549.829,88.0,1461.829
285,111.698,1517.537,56.0,1461.537
286,112.198,1384.243,-77.0,1461.243
287,112.698,1433.951,-27.0,1460.951
288,113.198,1431.658,-29.0,1460.658
289,113.698,1452.365,-8.0,1460.365
290,114.198,1460.0720000000001,-0.0,1460.0720000000001
291,114.698,1402.78,-57.0,1459.78
292,115.198,1388.4859999999999,-71.0,1459.4859999999999
293,115.698,1489.194,30.0,1459.194
294,116.198,1453.901,-5.0,1458.901
295,116.698,1505.6080000000002,47.0,1458.6080000000002
296,117.198,1479.315,21.0,1458.315
297,117.698,1420.022,-38.0,1458.022
298,118.198,1479.729,22.0,1457.729
299,118.698,1478.437,21.0,1457.437
300,119.198,1442.143,-15.0,1457.143
301,119.698,1484.851,28.0,1456.851
302,120.198,1423.558,-33.0,1456.558
303,120.698,1461.2649999999999,5.0,1456.2649999999999
304,121.198,1375.9720000000002,-80.0,1455.9720000000002
305,121.698,1509.68,54.0,1455.68
306,122.198,1451.386,-4.0,1455.386
307,122.698,1455.094,-0.0,1455.094
308,123.198,1449.801,-5.0,1454.801
309,123.698,1485.508,31.0,1454.508
310,124.198,1468.215,14.0,1454.215
311,124.698,1371.922,-82.0,1453.922
312,125.198,1446.629,-7.0,1453.629
313,125.698,1503.337,50.0,1453.337
314,126.198,1521.0430000000001,68.0,1453.0430000000001
315,126.698,1517.751,65.0,1452.751
316,127.198,1396.458,-56.0,1452.458
317,127.698,1441.165,-11.0,1452.165
318,128.198,1473.8719999999998,22.0,1451.8719999999998
319,128.698,1428.58,-23.0,1451.58
320,129.198,1471.286,20.0,1451.286
321,129.698,1449.994,-1.0,1450.994
322,130.198,1457.701,7.0,1450.701
323,130.698,1444.408,-6.0,1450.408
324,131.198,1446.115,-4.0,1450.115
325,131.698,1426.8229999999999,-23.0,1449.8229999999999
326,132.198,1426.529,-23.0,1449.529
327,132.698,1462.237,13.0,1449.237
328,133.198,1414.943,-34.0,1448.943
329,133.698,1439.6509999999998,-9.0,1448.6509999999998
330,134.198,1451.3580000000002,3.0,1448.3580000000002
331,134.698,1441.065,-7.0,1448.065
332,135.198,1422.772,-25.0,1447.772
333,135.698,1483.48,36.0,1447.48
334,136.198,1492.1860000000001,45.0,1447.1860000000001
335,136.698,1458.894,12.0,1446.894
336,137.198,1395.601,-51.0,1446.601
337,137.698,1396.308,-50.0,1446.308
338,138.198,1466.0149999999999,20.0,1446.0149999999999
339,138.698,1427.723,-18.0,1445.723
340,139.198,1466.429,21.0,1445.429
341,139.698,1423.1370000000002,-22.0,1445.1370000000002
342,140.198,1510.844,66.0,1444.844
343,140.698,1441.551,-3.0,1444.551
344,141.198,1450.258,6.0,1444.258
